Species,AphiaID,TSN_code,Grouping comment,,
Acipenser oxyrinchus,151802,,,,
Acipenser spp,125618,,,,
Acipenser sturio,126279,161072,,,
Alopias spp,105740,,,,
Alopias superciliosus,105835,,,,
Alopias vulpinus,105836,,,,
Alosa spp,125715,161701,A. aloso, A. fallax,
Alosa spp,416357,572694,,,
Alosa spp,126413,161708,,,
Alosa spp,126415,161716,,,
Amblyraja radiata,105865,564149,,,
Amblyraja radiata,148824,160876,,,
Anarhichas denticulatus,126757,,,,
Anarhichas lupus,,171335,,,
Anarhichas lupus,125912,171336,,,
Anarhichas lupus,126758,171341,,,
Anarhichas minor,126759,171342,,,
Anguilla anguilla,125620,161126,,,
Anguilla anguilla,126281,161128,,,
Anguilla anguilla,125425,161125,,,
Apristurus laurussonii,105807,,,,
Apristurus spp,105727,,,,
Argyrosomus regius,127007,169366,,,
Brama brama,126783,170290,,,
Brosme brosme,126447,164740,,,
Carcharhinus falciformis,105789,,,,
Carcharhinus longimanus,105794,,,,
Carcharodon carcharias,105838,,,,
Centrophorus granulosus,105899,,,,
Centrophorus squamosus,105901,,,,
Centrophorus uyato,105902,,,,
Centroscyllium fabricii,105906,160703,,,
Centroscymnus coelolepis,105907,,,,
Centroscymnus crepidater,105908,,,,
Cetorhinus maximus,105837,,,,
Chelidonichthys lucerna,127262,167039,,,
Chelidonichthys lucerna,274877,643890,,,
Chelidonichthys lucerna,,692071,,,
Chimaera monstrosa,105824,161022,,,
Chlamydoselachus anguineus,105831,,,,
Conger conger,125624,161325,,,
Conger conger,126285,161341,,,
Coregonus maraena,712453,,,,
Coregonus oxyrinchus,154238,,,,
Coregonus spp,127178,161963,,,
Coregonus spp,127180,161950,,,
Coregonus spp,126139,,,,
Coryphaenoides rupestris,158960,165350,,,
Cyclopterus lumpus,,167483,,,
Cyclopterus lumpus,127214,167612,,,
Dalatias licha,105910,160651,,,
Dasyatis pastinaca,105851,160959,,,
Dasyatis tortonesei,105852,,,,
Deania spp,105903,160742,D. calcea, D. profundium,
Deania spp,,649720,,,
Deania spp,105905,,,,
Dentex dentex,273962,169224,,,
Dicentrarchus punctatus,126976,170318,,,
Dipturus spp,105762,,D. batis. D. flossada, D. intermedia,
Dipturus spp,105869,564126,,,
Dipturus spp,148868,160885,,,
Dipturus spp,711847,,,,
